trial_id,scenario,traffic_multiplier,corridor,vehicle_id,vehicle_name,battery_capacity,efficiency,start_soc,time_mode,traffic_level,route_length,greedy_success,greedy_trip_time,greedy_charging_cost,greedy_stops,greedy_distance,greedy_status,cheapest_success,cheapest_trip_time,cheapest_charging_cost,cheapest_stops,cheapest_distance,cheapest_status,fastest_success,fastest_trip_time,fastest_charging_cost,fastest_stops,fastest_distance,fastest_status,smart_success,smart_trip_time,smart_charging_cost,smart_stops,smart_distance,smart_status,ml_smart_success,ml_smart_trip_time,ml_smart_charging_cost,ml_smart_stops,ml_smart_distance,ml_smart_status,ablation_dist_success,ablation_dist_trip_time,ablation_dist_charging_cost,ablation_dist_stops,ablation_dist_distance,ablation_dist_status,ablation_dist_traffic_success,ablation_dist_traffic_trip_time,ablation_dist_traffic_charging_cost,ablation_dist_traffic_stops,ablation_dist_traffic_distance,ablation_dist_traffic_status,ablation_dist_traffic_price_success,ablation_dist_traffic_price_trip_time,ablation_dist_traffic_price_charging_cost,ablation_dist_traffic_price_stops,ablation_dist_traffic_price_distance,ablation_dist_traffic_price_status
578,Normal,1.0,Delhi-Jaipur,mercedes_eqa,Mercedes EQA,66.5,4.8,83.0,peak,8,285.8,1,475.0,399.0,4.0,333.36820371119916,ok,1,383.0,311.0,1.0,285.8577943692712,ok,1,378.0,399.0,3.0,331.95454414921335,ok,1,324.0,408.0,1.0,288.60570719522525,ok,1,324.0,408.0,1.0,288.60570719522525,ok,1,383.0,311.0,1.0,285.8577943692712,ok,1,383.0,311.0,1.0,285.8577943692712,ok,1,383.0,311.0,1.0,285.8577943692712,ok
579,Normal,1.0,Delhi-Jaipur,tata_punch,Tata Punch EV,35.0,6.0,79.1,normal,5,285.8,1,388.0,520.0,6.0,336.23170527569556,ok,1,359.0,415.0,3.0,325.8652099838064,ok,1,319.0,435.0,3.0,303.6633723569006,ok,1,331.0,427.0,3.0,310.5136106817745,ok,1,331.0,427.0,3.0,310.5136106817745,ok,1,324.0,381.0,2.0,307.7079034865492,ok,1,324.0,381.0,2.0,307.7079034865492,ok,1,324.0,381.0,2.0,307.7079034865492,ok
580,Normal,1.0,Delhi-Jaipur,mg_zs,MG ZS EV,50.3,5.2,88.8,night,8,285.8,1,324.0,459.0,4.0,326.86934666689325,ok,1,285.0,259.0,1.0,285.8577943692712,ok,1,275.0,387.0,2.0,303.60557798762943,ok,1,249.0,336.0,1.0,288.60570719522525,ok,1,249.0,336.0,1.0,288.60570719522525,ok,1,285.0,259.0,1.0,285.8577943692712,ok,1,285.0,259.0,1.0,285.8577943692712,ok,1,285.0,259.0,1.0,285.8577943692712,ok
581,Normal,1.0,Delhi-Jaipur,bmw_ix1,BMW iX1,66.5,5.0,79.0,night,1,285.8,1,316.0,436.0,4.0,333.36820371119916,ok,1,302.0,327.0,1.0,285.8577943692712,ok,1,262.0,492.0,2.0,303.60557798762943,ok,1,238.0,434.0,1.0,288.60570719522525,ok,1,238.0,434.0,1.0,288.60570719522525,ok,1,302.0,327.0,1.0,285.8577943692712,ok,1,302.0,327.0,1.0,285.8577943692712,ok,1,302.0,327.0,1.0,285.8577943692712,ok
582,Normal,1.0,Delhi-Jaipur,mahindra_xuv400,Mahindra XUV400,39.4,5.3,87.5,night,2,285.8,1,359.0,522.0,6.0,336.23170527569556,ok,1,339.0,429.0,3.0,325.8652099838064,ok,1,290.0,436.0,3.0,303.6633723569006,ok,1,263.0,385.0,2.0,288.66350156449647,ok,1,263.0,385.0,2.0,288.66350156449647,ok,1,263.0,385.0,2.0,288.66350156449647,ok,1,263.0,385.0,2.0,288.66350156449647,ok,1,263.0,385.0,2.0,288.66350156449647,ok
583,Normal,1.0,Delhi-Jaipur,tata_punch,Tata Punch EV,35.0,6.0,76.3,night,8,285.8,1,390.0,539.0,6.0,336.23170527569556,ok,1,361.0,426.0,3.0,325.8652099838064,ok,1,321.0,451.0,3.0,303.6633723569006,ok,1,333.0,442.0,3.0,310.5136106817745,ok,1,333.0,442.0,3.0,310.5136106817745,ok,1,326.0,396.0,2.0,307.7079034865492,ok,1,326.0,396.0,2.0,307.7079034865492,ok,1,326.0,396.0,2.0,307.7079034865492,ok
584,Normal,1.0,Delhi-Jaipur,tata_nexon,Tata Nexon EV Max,40.5,5.5,88.7,peak,7,285.8,1,487.0,476.0,5.0,326.92714103616447,ok,1,368.0,252.0,1.0,285.8577943692712,ok,1,464.0,460.0,4.0,325.51348147417866,ok,1,433.0,408.0,3.0,310.5136106817745,ok,1,433.0,408.0,3.0,310.5136106817745,ok,1,368.0,252.0,1.0,285.8577943692712,ok,1,433.0,408.0,3.0,310.5136106817745,ok,1,433.0,408.0,3.0,310.5136106817745,ok
585,Normal,1.0,Delhi-Jaipur,mahindra_xuv400,Mahindra XUV400,39.4,5.3,76.8,peak,3,285.8,1,360.0,606.0,6.0,336.23170527569556,ok,1,348.0,480.0,3.0,325.8652099838064,ok,1,295.0,508.0,3.0,303.6633723569006,ok,1,305.0,497.0,3.0,310.5136106817745,ok,1,305.0,497.0,3.0,310.5136106817745,ok,1,309.0,445.0,2.0,307.7079034865492,ok,1,309.0,445.0,2.0,307.7079034865492,ok,1,309.0,445.0,2.0,307.7079034865492,ok
586,Normal,1.0,Delhi-Jaipur,mercedes_eqa,Mercedes EQA,66.5,4.8,74.0,night,10,285.8,1,317.0,520.0,4.0,333.36820371119916,ok,1,315.0,377.0,1.0,285.8577943692712,ok,1,268.0,569.0,2.0,303.60557798762943,ok,1,243.0,505.0,1.0,288.60570719522525,ok,1,243.0,505.0,1.0,288.60570719522525,ok,1,315.0,377.0,1.0,285.8577943692712,ok,1,315.0,377.0,1.0,285.8577943692712,ok,1,315.0,377.0,1.0,285.8577943692712,ok
587,Normal,1.0,Delhi-Jaipur,tata_punch,Tata Punch EV,35.0,6.0,85.8,night,7,285.8,1,384.0,472.0,6.0,336.23170527569556,ok,1,353.0,387.0,3.0,325.8652099838064,ok,1,313.0,395.0,3.0,303.6633723569006,ok,1,284.0,349.0,2.0,288.66350156449647,ok,1,284.0,349.0,2.0,288.66350156449647,ok,1,284.0,349.0,2.0,288.66350156449647,ok,1,284.0,349.0,2.0,288.66350156449647,ok,1,284.0,349.0,2.0,288.66350156449647,ok
